entityId,公司名称,注册省,注册市,行业,企业简介,最近融资轮次,企业融资阶段（全部）,特色指标,是否接受邀约,企业类型,成立日期,统一社会信用代码,疑似实际控制人,最终受益人,所有股东,股东数量,经营范围,企业资质,注册区,注册资本,经营地址,最近融资日期,硬科技赛道,来觅赛道,战新产业,最近融资金额,融资总轮数,机构投资方,机构投资方参投实体,官网,阶段融资金额,融资金额币种,阶段融资日期,法定代表人,是否有国资背景,是否有央企背景,推荐机构
1000001112,涅斐勒(上海)实业有限公司,上海,上海市,,,,,,,有限责任公司(自然人投资或控股),2013/08/15,91310110076417291G,丁耀华,"丁耀华,沈梁","丁耀华、51.00（万人民币）、51.00 %,沈梁、49.00（万人民币）、49.00 %",2,一般项目：生产加工文化用品，办公用品、办公设备、文化用品，母婴用品，玩具，日用百货，五金交电、劳防用品、化工产品（除危险化学品、监控化学品、民用爆炸物品、易制毒化学品）、消毒用品（不含危险化学品）、第一、二类医疗器械的销售，货物进出口，技术进出口，进出口代理，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，商务咨询，工业设计服务，展览展示服务，物业管理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,,杨浦区,CNY 100.00 万,上海市,,,,,,,,,,,,,丁耀华,否,否,
1000321406,上海鑫方迅通信科技有限公司,上海,上海市,,"方迅医生集团成立于2009年,是“互联网+医疗健康”新业态的先行者,2012年协同中国人民解放军总医院(301医院)承担国家科技支撑计划项目“面向军地协同的跨区域医疗服务平台”科技开发,成果转化为“跨区域军地协同与远程医学服务平台”,已经与包括301医院、阜外医院、同仁医院,浙江医院等国内500多家医院签订了合作协议,开展了实质性的合作。方迅医生以打造智慧医疗健康大数据平台为目标,依托于国家课题成果转化,开展了智慧医疗、家庭医生、健康管理、医生集团等业务。与各地的卫计委,医疗机构,健康管理中心建立了紧密的合作关系。同时公司是中国老年保健医学研究会理事与信息化健康服务促进会副会长单位,中国老年医学会医养结合促进会副会长单位,也是中国卫生信息学会、中国老年保健医学研究会指定的“家庭医生与智能可穿戴设备研究基地”。方迅医生集团秉持求真务实,恪守中道,协作创新,止于至善的价值观,以与医院一起成长为使命,为医生更好的服务用户而奋斗。",未公开轮次,"C 轮,未公开事件",私募已投,,有限责任公司(自然人投资或控股),2009/04/15,91310105687365750G,吴国华,吴国华,"吴国华、973.91（万人民币）、55.19 %,吴国华、973.91（万人民币）、55.19 %,浙江康恩贝制药股份有限公司、300.00（万人民币）、17.00 %,深圳市协同禾盛并购基金一号合伙企业、264.71（万人民币）、15.00 %,高延庆、75.00（万人民币）、4.25 %,高延庆、75.00（万人民币）、4.25 %,徐伟、52.94（万人民币）、3.00 %,李灵敏、22.50（万人民币）、1.27 %,陈瑞、20.00（万人民币）、1.13 %,杨萍、20.00（万人民币）、1.13 %,上海朴拓投资管理有限公司、18.00（万人民币）、1.02 %,施继兴、17.65（万人民币）、1.00 %",12,通信科技、网络技术、计算机系统集成领域内的技术开发、技术咨询、技术转让、技术服务；销售通信设备，计算机软件；第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）；二类医疗器械销售；健康管理咨询（不得从事诊疗活动、心理咨询）；从事货物进出口及技术进出口业务。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】,,长宁区,"CNY 1,764.71 万",上海市,2016-03-17,,"AI医疗,企业大数据,数字健康管理",,,2,"康恩贝 (C 轮),协同资本 (未公开事件),上海朴拓 (未公开事件)","康恩贝集团有限公司 (C 轮),协同创新基金管理有限公司 (未公开事件),上海朴拓投资管理有限公司 (未公开事件)",www.xfunsun.com,,,"2015-10-19 (C 轮),2016-03-17 (未公开事件)",吴国华,是,是,
1000375197,上海三致教育科技有限公司,上海,上海市,,三致教育是一家中小学教育服务机构，专注于中小学课外辅导领域及教育平台的完善，致力于为学生提供个性化、全方位的中小学教育服务。,,,,,有限责任公司(自然人投资或控股),2009/08/25,913101166929907880,张东,张东,"张东、80.00（万人民币）、80.00 %,上海百师文化传播有限公司、20.00（万人民币）、20.00 %",2,"教育软件开发,企业管理咨询、商务咨询、投资管理咨询,会展服务,文化办公用品,计算机、软件及辅助设备销售,从事教育科技领域内技术开发、技术咨询、技术服务。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,浦东新区,CNY 100.00 万,上海市,,,教育培训,,,,,,,,,,黄梦婷,否,否,
1003072134,上海庄生晓梦信息科技有限公司,上海,上海市,,"上海庄生晓梦信息科技有限公司,2019年,创立了Coolpo品牌,持续致力于探索新一代人工智能技术在企业数字化空间应用方面的行业落地。通过研发深层次AI音视频交互方案,在视频会议领域打造领先的音频和视频会议系统的设备。这些设备配备了人工智能功能,诸如人脸识别,声源定位,回声消除、噪声消除,自动增益等高级特征。我们现在已经成功开发了Meeting Flex智能集成到我们所有设备解决方案中。",A 轮,"天使轮,Pre-A 轮",私募已投,,有限责任公司(自然人投资或控股),2016/05/09,91310115MA1H7Q0468,朱雷震,朱雷震,"朱雷震、63.62（万人民币）、51.33 %,上海晔堃企业管理中心(有限合伙)、16.00（万人民币）、12.91 %,宁波梅山保税港区云丝路股权投资基金合伙企业(有限合伙)、13.22（万人民币）、10.67 %,北京东方国狮投资基金管理中心(有限合伙)、11.11（万人民币）、8.96 %,周国辉、10.00（万人民币）、8.07 %,钟宇清、10.00（万人民币）、8.07 %",6,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；会议及展览服务；信息咨询服务（不含许可类信息咨询服务）；企业管理咨询；企业形象策划；组织文化艺术交流活动；市场营销策划；食用农产品批发；图文设计制作；软件开发；礼仪服务；翻译服务；信息系统集成服务；计算机系统服务；网络与信息安全软件开发；数字内容制作服务（不含出版发行）；广告发布；数字广告发布；广告设计、代理；广告制作；数字广告制作；数字广告设计、代理；互联网销售（除销售需要许可的商品）；办公用品销售；机械设备销售；电子产品销售；电子元器件零售；包装材料及制品销售；照相器材及望远镜零售；计算机软硬件及辅助设备零售；办公设备耗材销售；办公设备销售；橡胶制品销售；金属材料销售；建筑材料销售；化工产品销售（不含许可类化工产品）；木材销售；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,专精特新企业,浦东新区,CNY 123.96 万,上海市,2019-10-10,,"计算机视觉,视频通讯,人脸识别","人工智能,数字文化创意软件开发,数字创意技术设备制造,其他专业技术服务",CNY 数百万,2,"浩方创投 (Pre-A 轮),东方国狮 (天使轮)","深圳市浩方创投发展有限公司 (Pre-A 轮),北京国狮资产管理有限公司 (天使轮)",www.coolpolens.com,"CNY 数百万 (天使轮),CNY 数百万 (Pre-A 轮)","人民币 (天使轮),人民币 (Pre-A 轮)","2018-05-10 (天使轮),2019-10-10 (Pre-A 轮)",朱雷震,否,否,
1003212318,亿视金腾传媒科技(上海)有限公司,上海,上海市,物业服务,"亿视金腾,坐拥电梯场景内乘客正对面“头版头条”黄金版位,受众每日直视时长超过1分钟,是目前到达率最高、覆盖最广的线下精准媒体。公司聚焦城市主流消费人群,以开发经营城市中高端楼宇电梯门框架媒体为核心业务,覆盖目标受众的“生活圈”和“工作圈”,为广告客户提供定位精准、用户体验最好的媒体投放解决方案。同时,作为最为贴近目标用户“最后5米”的传播载体,公司在打造一个“互联网+社区/楼宇”的入口,为各大互联网公司布局抢占社区/楼宇O2O提供最佳的信息通道。公司由一群来自分众、腾讯等著名媒体和互联网企业资深人士创建,成立至今持续高速发展,积极推进优质媒体资源开发和价值链整合,目前已在杭州、南京、成都、苏州、武汉、宁波、长沙、合肥、沈阳、大连等省会城市和副省级城市,覆盖了全国上万个中高档商务楼宇和住宅公寓,拥有十几万个电梯广告版位,并在持续扩张重点城市的核心点位资源。同时作为全国电梯门媒体产业联盟的龙头企业,我们在全国拥有三十多家城市媒体联盟,完整覆盖了GDP排名前30的一二线城市。亿视金腾是迄今国内最大的电梯门媒体运营商。",,,,,有限责任公司(港澳台投资、非独资),2013/05/11,91310230067832805K,舒惠麟,舒惠麟,"舒惠麟、1,005.00（万人民币）、61.64 %,王骞、225.00（万人民币）、13.80 %,邢光华、225.00（万人民币）、13.80 %,黄雨、81.52（万人民币）、5.00 %,洪子晴、48.91（万人民币）、3.00 %,舒东、45.00（万人民币）、2.76 %",6,"许可项目:建设工程施工(核电站建设经营、供排水管网除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准) 一般项目:从事传媒科技领域内的技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;广告设计、代理;广告发布;广告制作;专业设计服务;平面设计;图文设计制作;工业设计服务;市场营销策划;企业形象策划;咨询策划服务;组织文化艺术交流活动(营业性演出除外);会议及展览服务(主办、承办、会展除外);礼仪服务;摄像及视频制作服务(航空、测绘摄影、音像制品、影视制作除外);信息咨询服务(不含许可类信息咨询服务);社会经济咨询服务(金融信息服务除外);音响设备销售;电子产品销售;五金产品批发;办公用品销售;日用百货销售。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",,奉贤区,"CNY 1,630.43 万",上海市,,,"电梯媒体,精准营销",,,,,,www.ysjt-media.com,,,,舒惠麟,否,否,
1004053478,浙江和护健康科技有限公司,浙江省,杭州市,医药健康,公司致力于开发医疗信息管理系统，有上晖医院信息系统管理、上晖临床路径管理软件等软件。,未公开轮次,未公开事件,私募已投,,有限责任公司(自然人投资或控股),2015/09/11,913101153508880468,俞春晖,俞春晖,"杭州金划算信息科技有限公司、900.00（万人民币）、87.00 %,宁波保税区瑾盈网络科技合伙企业(有限合伙)、115.86（万人民币）、11.20 %,芜湖契阔投资管理有限公司、18.62（万人民币）、1.80 %",3,"一般项目:健康咨询,从事计算机信息科技、计算机网络科技、计算机软硬件科技、环保科技、生物科技(转基因生物、人体干细胞基因诊断除外)、智能科技、医药科技领域内的技术开发、技术咨询、技术转让、技术服务,软件、自动化控制系统及集成的开发、设计和销售,商务信息咨询,房地产咨询,企业管理咨询,家政服务,电子商务(除增值电信业务、金融业务),设计、制作、代理各类广告,广告发布(非广播电台、电视台、报刊出版单位),会务服务,展览展示服务,企业形象策划,市场营销策划,文化艺术交流策划,办公设备及用品的销售。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,余杭区,"CNY 1,034.48 万",浙江省杭州市,2018-01-17,,"医药健康,医疗软件,医疗系统,HIS 系统",,,1,契阔资本 (未公开事件),芜湖契阔投资管理有限公司 (未公开事件),,,,2018-01-17 (未公开事件),俞春晖,否,否,
1004514022,扬灵教育科技(江苏)有限公司,江苏省,苏州市,教育培训,扬灵教育是上海新锐、充满进取的特教机构。杨灵教育迄今已与上海多个家教网站达成合作关系，致力于打通线上线下服务环节，运用O2O的思维，以互联网为跳板，以“个性化、可定制”为特色，用全新的角度，全新的思维解读特教行业。,,,,,有限责任公司(自然人投资或控股),2016/05/17,91310120MA1HKX863N,岳永烽,"李芮,岳永烽","岳永烽、550.00（万人民币）、55.00 %,李芮、450.00（万人民币）、45.00 %",2,"一般项目:从事教育科技、计算机信息科技、网络科技领域内的技术开发、技术咨询、技术服务、技术转让,商务信息咨询,健康咨询服务(不含诊疗服务),互联网销售(除销售需要许可的上品牌),组织文化艺术交流活动,广告发布(非广播电台、电视台、报刊出版单位)。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",民营科技企业,太仓市,"CNY 1,000.00 万",江苏省苏州市,,,"教育培训,生活服务电商,社交",,,,,,www.yanglingeducation.com,,,,岳永烽,否,否,
1004969147,上海雍德空气净化科技有限公司,上海,上海市,,,,,,,有限责任公司(自然人投资或控股),2014/12/23,9131011032429325XA,张昌武,"张昌武,徐文礼","张昌武、140.00（万人民币）、70.00 %,徐文礼、60.00（万人民币）、30.00 %",2,"空气净化科技、高压静电技术领域内的技术开发、技术转让、技术服务、技术咨询;空气净化设备、机械设备、清洁用品的销售;实业投资,投资咨询(不得从事经纪);从事货物及技术的进出口业务。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,杨浦区,CNY 200.00 万,上海市,,,,,,,,,,,,,张昌武,否,否,
1004969157,上海凡济生物科技有限公司,上海,上海市,体外诊断,"凡济生物创始团队由来生物、自动化、材料、化学等跨学科领，域的，12，名硕士和博士组成核心研发团队,项目研发开始于，2013，年，7，月,2014，年，2，月是在上海市大学生创新创业基金会(EFG)同济分基，金资助下成立的一家大学生创新创业公司。定位于基因检测领域特别是前端生物样本处理这一细分市场, 专注于样本纯化相关基础技术体系研发,旨在成为具有自主知识产权体系的、高品质的国产核酸纯化相关产品生产型企业。",未公开轮次,未公开事件,私募已投,,有限责任公司(自然人投资或控股),2014/02/17,913101100879402213,杨晓林,杨晓林,"杨晓林、78.26（万人民币）、64.14 %,上海凡济企业管理中心(有限合伙)、21.74（万人民币）、17.82 %,上海济励投资管理中心(有限合伙)、8.70（万人民币）、7.13 %,上海中犀企业管理合伙企业(有限合伙)、4.88（万人民币）、4.00 %,方加亮、4.53（万人民币）、3.71 %,协转(上海)企业管理中心(有限合伙)、3.90（万人民币）、3.20 %",6,"许可项目:货物进出口;技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准) 一般项目:生物科技、医药科技领域内的技术开发、技术转让、技术咨询、技术服务,一类医疗器械、实验室设备、化学试剂(除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品)的研发和销售,健康咨询(不得从事诊疗活动、心理咨询)。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",专精特新企业,闵行区,CNY 122.01 万,上海市,2017-01-12,,"生物科技,肿瘤早筛,消费级基因检测,生命科学","其他生物医用材料及用品制造,先进有色金属材料,生物农业及相关产业",,1,同领投资 (未公开事件),上海同领投资管理有限公司 (未公开事件),www.finegenebio.com,,,2017-01-12 (未公开事件),杨晓林,否,否,
1009885470,西安博尔新材料有限责任公司,陕西省,西安市,金属基,"西安博尔新材料有限责任公司是一家专门从事高品质碳化硅(SiC)微粉和晶须及其下游制品等研发、生产、销售的国家级高新技术企业,自主发明实现工业化生产立方碳化硅(β-SiC)微粉和晶须的专业企业。其中主营产品立方碳化硅经陕西省工信厅及国家工信部批准被纳入重点新材料,公司的SiC微粉在精细分级和表面改性处理等方面也都处于前列水平。近年来,公司和西安科技大学等高校开展密切的产学研合作,依托陕西省硅镁产业节能与多联产工程技术研究中心和陕西省硅镁碳微纳米材料工程技术研究中心(公司法人任中心主任)先进的研发和中试条件,研发了多项生产新材料的新工艺与新技术,获国家发明专利多项,获省部级科技进步奖多项。公司拥有国内先进的粉体加工与测试仪器设备和高技术陶瓷、精密磨抛材料与工具等研发与生产条件。有SEM、STM、XRD、Malvern激光粒度分析仪等先进测试仪器、有专门的材料化学性质、物理性能和力学性能测试分析室,可确保产品质量的精准和稳定。公司生产的精细SiC(α相和β相)微粉系列产品、精细磨料、堆积磨料、复合磨料、流体磨料和高技术SiC制品等产品在磨料磨削、机械、电子、冶金、化工、军工和航空航天等领域有广泛应用。产品除满足国内市场需求外,还出口美国、韩国和日本等国。",未公开轮次,未公开事件,私募已投,,其他有限责任公司,2013/09/12,91610137073435275H,王晓刚,王晓刚,"陕西西科博尔科技有限责任公司、3,000.00（万人民币）、67.09 %,西安智信投资管理有限公司、805.00（万人民币）、18.00 %,北京水木创融信裕投资中心(有限合伙)、555.56（万人民币）、12.42 %,北京水木创融信和投资中心(有限合伙)、111.11（万人民币）、2.48 %",4,"高纯超细粉体、技术陶瓷、高级耐火材料、金属材料、合金材料、复合材料的研发、生产、销售、技术转让、技术咨询、技术服务及新技术开发、设备制造、销售;化工产品(易燃易爆易制毒危险化学品及专控除外)、环保产品、普通机械、电力电子产品、生物产品(保健品除外)的生产、销售;仪器仪表、通讯器材的销售;货物或技术的进出口业务(国家禁止或限制进出口的货物、技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,阎良区,"CNY 4,471.67 万",陕西省西安市,2016-07-25,航空航天,"纳米材料,金属基复合材料","集成电路制造,新型耐火材料制造,金属基复合材料制造,高效节能产业",,1,水木创融 (未公开事件),北京水木创融投资管理有限公司 (未公开事件),www.boernm.cn,,,2016-07-25 (未公开事件),王晓刚,是,否,
